CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-135,2023,2,0,0.0,731.5,266997.5,0.0,Low
M-135,2024,1,0,0.0,781.5,285247.5,0.0,Low
M-136,2017,1,0,0.0,,,,Low
M-137,2016,1,0,0.0,,,,Low
M-137,2017,3,0,0.0,,,,Low
M-137,2018,2,0,0.0,555.0,202575.0,0.0,Low
M-137,2019,2,0,0.0,602.6666666666666,219973.3333333333,0.0,Low
M-137,2020,5,0,0.0,,,,Low
M-137,2021,10,1,10.0,753.6666666666666,275088.3333333333,363.51959673559406,Medium
M-137,2022,3,0,0.0,612.0,223380.0,0.0,Low
M-137,2023,6,0,0.0,647.0,236155.0,0.0,Low
M-137,2024,4,0,0.0,644.0,235060.0,0.0,Low
M-14,2016,24,1,4.1667,,,,Low
M-14,2017,20,0,0.0,,,,Low
M-14,2018,24,0,0.0,,,,Low
M-14,2019,27,0,0.0,,,,Low
M-14,2020,10,0,0.0,,,,Low
M-14,2021,22,0,0.0,,,,Low
M-14,2022,12,0,0.0,,,,Low
M-14,2023,18,0,0.0,,,,Low
M-14,2024,17,0,0.0,,,,Low
M-141,2018,1,0,0.0,402.0,146730.0,0.0,Low
M-141,2022,2,0,0.0,348.0,127020.0,0.0,Low
M-201,2016,2,0,0.0,,,,Low
M-201,2017,1,0,0.0,,,,Low
M-201,2020,1,0,0.0,,,,Low
M-201,2021,1,0,0.0,,,,Low
M-201A,2023,1,0,0.0,,,,Low
M-203,2016,18,0,0.0,,,,Low
M-203,2017,29,0,0.0,,,,Low
M-203,2018,22,1,4.5455,15662.6,5716849.0,17.49215345726291,Low
M-203,2019,32,0,0.0,16280.4,5942346.0,0.0,Low
M-203,2020,18,0,0.0,,,,Low
M-203,2021,23,3,13.0435,15664.6,5717579.0,52.46976036535744,Medium
M-203,2022,31,1,3.2258,15955.6,5823794.0,17.17093702146745,Low
M-203,2023,32,0,0.0,16598.8,6058562.0,0.0,Low
M-203,2024,24,1,4.1667,17253.2,6297418.0,15.879523957279,Low
M-204,2016,13,0,0.0,,,,Low
M-204,2017,18,0,0.0,,,,Low
M-204,2018,13,0,0.0,3321.625,1212393.125,0.0,Low
M-204,2019,11,0,0.0,3302.1111111111113,1205270.5555555557,0.0,Low
M-204,2020,13,0,0.0,,,,Low
M-204,2021,9,0,0.0,3222.222222222222,1176111.111111111,0.0,Low
M-204,2022,12,0,0.0,3633.25,1326136.25,0.0,Low
M-204,2023,12,0,0.0,3383.222222222222,1234876.111111111,0.0,Low
M-204,2024,14,0,0.0,3353.777777777778,1224128.888888889,0.0,Low
M-206,2016,33,0,0.0,,,,Low
M-206,2017,29,2,6.8966,,,,Medium
