COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
28132,2019,20,0,0.0
28132,2020,18,0,0.0
28132,2021,14,1,7.1429
28132,2022,24,1,4.1667
28132,2023,16,0,0.0
28132,2024,20,0,0.0
28133,2016,4,0,0.0
28133,2017,8,0,0.0
28133,2018,7,0,0.0
28133,2019,9,0,0.0
28133,2020,9,0,0.0
28133,2021,6,0,0.0
28133,2022,15,0,0.0
28133,2023,6,0,0.0
28133,2024,9,0,0.0
28134,2016,66,0,0.0
28134,2017,80,2,2.5
28134,2018,58,3,5.1724
28134,2019,75,1,1.3333
28134,2020,38,2,5.2632
28134,2021,61,2,3.2787
28134,2022,36,1,2.7778
28134,2023,45,1,2.2222
28134,2024,27,1,3.7037
28141,2016,5,0,0.0
28141,2017,2,0,0.0
28141,2018,1,0,0.0
28141,2019,2,0,0.0
28141,2020,2,0,0.0
28141,2022,4,0,0.0
28141,2023,3,0,0.0
28141,2024,1,0,0.0
28144,2016,7,0,0.0
28144,2017,7,0,0.0
28144,2018,8,0,0.0
28144,2019,10,0,0.0
28144,2020,5,0,0.0
28144,2021,9,0,0.0
28144,2022,5,0,0.0
28144,2023,3,0,0.0
28144,2024,5,0,0.0
28148,2016,73,3,4.1096
28148,2017,62,0,0.0
28148,2018,67,0,0.0
28148,2019,58,1,1.7241
28148,2020,39,2,5.1282
28148,2021,57,1,1.7544
28148,2022,76,2,2.6316
28148,2023,63,2,3.1746
28148,2024,27,5,18.5185
28149,2016,8,0,0.0
28149,2017,9,0,0.0
28149,2018,12,0,0.0
28149,2019,16,0,0.0
28149,2020,16,0,0.0
28149,2021,9,0,0.0
28149,2022,17,0,0.0
28149,2023,20,0,0.0
28149,2024,12,0,0.0
28152,2016,27,0,0.0
28152,2017,23,1,4.3478
28152,2018,21,0,0.0
28152,2019,21,0,0.0
28152,2020,16,0,0.0
28152,2021,15,1,6.6667
28152,2022,23,0,0.0
28152,2023,17,0,0.0
28152,2024,10,0,0.0
28154,2016,8,0,0.0
28154,2017,8,0,0.0
28154,2018,10,0,0.0
28154,2019,8,0,0.0
28154,2020,9,1,11.1111
28154,2021,8,0,0.0
28154,2022,13,0,0.0
28154,2023,23,0,0.0
28154,2024,9,0,0.0
28160,2016,17,0,0.0
28160,2017,18,0,0.0
28160,2018,27,0,0.0
28160,2019,20,0,0.0
28160,2020,18,0,0.0
28160,2021,30,0,0.0
28160,2022,20,0,0.0
28160,2023,19,0,0.0
28160,2024,13,0,0.0
28161,2016,43,0,0.0
28161,2017,55,0,0.0
28161,2018,56,0,0.0
28161,2019,53,2,3.7736
28161,2020,27,1,3.7037
28161,2021,36,0,0.0
28161,2022,44,1,2.2727
28161,2023,45,1,2.2222
28161,2024,44,0,0.0
28164,2024,8,0,0.0
28167,2016,2,0,0.0
28167,2017,3,0,0.0
28167,2018,5,0,0.0
28167,2019,7,0,0.0
28167,2020,1,0,0.0
28167,2021,6,0,0.0
28167,2022,6,1,16.6667
28167,2023,1,0,0.0
28167,2024,3,0,0.0
28171,2016,3,0,0.0
28171,2017,4,0,0.0
28171,2018,2,0,0.0
28171,2019,3,0,0.0
28171,2020,4,0,0.0
28171,2021,4,0,0.0
28171,2022,3,0,0.0
28171,2023,5,0,0.0
28171,2024,7,0,0.0
28172,2016,3,0,0.0
28172,2017,3,0,0.0
28172,2018,5,0,0.0
28172,2019,3,0,0.0
28172,2020,6,0,0.0
28172,2021,10,0,0.0
28172,2022,3,0,0.0
28172,2023,8,0,0.0
28172,2024,6,0,0.0
28176,2016,8,0,0.0
28176,2017,9,0,0.0
28176,2018,14,0,0.0
28176,2019,8,0,0.0
28176,2020,4,0,0.0
28176,2021,6,0,0.0
28176,2022,7,0,0.0
28176,2023,4,0,0.0
28176,2024,4,0,0.0
28177,2016,6,0,0.0
28177,2017,10,0,0.0
28177,2018,10,0,0.0
28177,2019,9,0,0.0
28177,2020,8,0,0.0
28177,2021,6,0,0.0
28177,2022,8,1,12.5
28177,2023,5,0,0.0
28177,2024,7,0,0.0
28180,2016,29,0,0.0
28180,2017,12,0,0.0
28180,2018,12,0,0.0
28180,2019,19,1,5.2632
28180,2020,12,0,0.0
28180,2021,8,0,0.0
28180,2022,12,0,0.0
28180,2023,4,0,0.0
28180,2024,13,0,0.0
28181,2016,28,1,3.5714
28181,2017,23,0,0.0
28181,2018,32,0,0.0
28181,2019,15,0,0.0
28181,2020,10,0,0.0
28181,2021,17,0,0.0
28181,2022,12,0,0.0
28181,2023,22,2,9.0909
28181,2024,21,0,0.0
28903,2016,29,0,0.0
28903,2017,22,0,0.0
28903,2018,27,0,0.0
28903,2019,18,1,5.5556
28903,2020,26,1,3.8462
28903,2021,16,0,0.0
28903,2022,19,0,0.0
28903,2023,13,1,7.6923
28903,2024,6,1,16.6667
