CARRETERA,total_accidents,total_fatal_30d,total_serious_30d,total_victims_30d,total_bad_surface,total_proxy_substance,n_TCA_sections,ASI_pct,RCII_pct,RADAR_proxy_pct,dominant_cause
ADONIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADONIS (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRA (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRADA DE HAZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRIAN ANDRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRIAN PULIDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRIANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRIANO DE UTRECHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADRIATICO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADUANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AERO CLUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AERONAUTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AERONAVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AEROPUERTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AEROPUERTO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AEROPUERTO BARAJAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFANIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFECTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFILADERAS (LAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFLIGIDOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFLUENTE (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFLUENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFRICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFRICA (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFRODITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFRODITA (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFUERA PASTORES (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFUERA TINAJEROS (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFUERAS A SAN ROQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AFUERAS A VALVERDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGAMENON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGAMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
"AGAPITO GARCIA ""SERRANITO"" (DE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGAPITO MARTINEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGASTIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGATHA CHRISTIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGAVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGILA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGOSTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRACEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRAMUNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGREDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRICULTOR (EL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRICULTORES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRICULTURA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGRONOMOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGUA (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGUA MARINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGUA ROMERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AGUA VIRGEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
