CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-511,2017,8,0,2,0.0,0.0,False
M-511,2018,10,0,0,2.0,25.0,False
M-511,2019,7,0,0,-3.0,-30.0,False
M-511,2020,7,0,1,0.0,0.0,True
M-511,2021,3,0,0,-4.0,-57.14,True
M-511,2022,7,1,0,4.0,133.33,False
M-511,2023,7,0,0,0.0,0.0,False
M-511,2024,6,0,0,-1.0,-14.29,False
M-512,2016,16,0,1,,,False
M-512,2017,10,0,2,-6.0,-37.5,False
M-512,2018,8,0,0,-2.0,-20.0,False
M-512,2019,15,0,2,7.0,87.5,False
M-512,2020,14,0,1,-1.0,-6.67,True
M-512,2021,11,1,0,-3.0,-21.43,True
M-512,2022,12,0,2,1.0,9.09,False
M-512,2023,6,0,1,-6.0,-50.0,False
M-512,2024,6,0,1,0.0,0.0,False
M-513,2016,26,1,1,,,False
M-513,2017,31,0,4,5.0,19.23,False
M-513,2018,30,0,1,-1.0,-3.23,False
M-513,2019,29,1,2,-1.0,-3.33,False
M-513,2020,19,0,0,-10.0,-34.48,True
M-513,2021,20,1,2,1.0,5.26,True
M-513,2022,11,1,0,-9.0,-45.0,False
M-513,2023,19,0,1,8.0,72.73,False
M-513,2024,13,0,3,-6.0,-31.58,False
M-515,2016,1,0,0,,,False
M-516,2016,8,0,1,,,False
M-516,2017,6,0,0,-2.0,-25.0,False
M-516,2018,3,0,0,-3.0,-50.0,False
M-516,2019,9,0,1,6.0,200.0,False
M-516,2020,2,0,0,-7.0,-77.78,True
M-516,2021,3,0,0,1.0,50.0,True
M-516,2022,3,0,0,0.0,0.0,False
M-516,2023,6,0,0,3.0,100.0,False
M-516,2024,4,0,0,-2.0,-33.33,False
M-519,2016,2,0,0,,,False
M-519,2017,3,0,0,1.0,50.0,False
M-519,2018,2,0,0,-1.0,-33.33,False
M-519,2019,6,0,0,4.0,200.0,False
M-519,2020,3,0,0,-3.0,-50.0,True
M-519,2021,3,0,0,0.0,0.0,True
M-519,2022,3,0,0,0.0,0.0,False
M-519,2023,5,0,0,2.0,66.67,False
M-519,2024,2,0,0,-3.0,-60.0,False
M-521,2016,13,1,2,,,False
M-521,2017,15,2,4,2.0,15.38,False
M-521,2018,11,2,0,-4.0,-26.67,False
M-521,2019,15,0,2,4.0,36.36,False
M-521,2020,14,1,1,-1.0,-6.67,True
M-521,2021,20,0,4,6.0,42.86,True
M-521,2022,21,1,6,1.0,5.0,False
M-521,2023,14,0,1,-7.0,-33.33,False
M-521,2024,29,0,10,15.0,107.14,False
M-522,2017,4,0,0,,,False
M-522,2018,1,1,0,-3.0,-75.0,False
M-522,2019,1,0,0,0.0,0.0,False
M-522,2020,3,0,1,2.0,200.0,True
M-522,2021,3,0,3,0.0,0.0,True
M-522,2022,3,0,0,0.0,0.0,False
M-522,2024,1,0,0,-2.0,-66.67,False
M-523,2016,2,0,0,,,False
M-523,2017,1,0,0,-1.0,-50.0,False
M-523,2018,3,0,0,2.0,200.0,False
M-523,2020,1,0,0,-2.0,-66.67,True
M-523,2021,1,0,1,0.0,0.0,True
M-523,2022,2,0,0,1.0,100.0,False
M-523,2023,4,1,0,2.0,100.0,False
M-523,2024,1,0,0,-3.0,-75.0,False
M-524,2017,1,1,3,,,False
M-524,2022,1,0,0,0.0,0.0,False
M-524,2024,2,0,0,1.0,100.0,False
M-527,2016,3,0,0,,,False
M-527,2017,4,0,0,1.0,33.33,False
M-527,2019,3,2,0,-1.0,-25.0,False
M-527,2021,1,0,0,-2.0,-66.67,True
M-527,2022,2,0,0,1.0,100.0,False
M-527,2023,3,0,0,1.0,50.0,False
M-528,2016,4,0,1,,,False
M-528,2017,8,0,0,4.0,100.0,False
M-528,2018,4,0,2,-4.0,-50.0,False
M-528,2019,4,0,1,0.0,0.0,False
