CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-3,Salida de la vía por la derecha con vuelco,2020,6,92,6.5217
A-3,Salida de la vía por la derecha con vuelco,2021,5,84,5.9524
A-3,Salida de la vía por la derecha con vuelco,2022,4,115,3.4783
A-3,Salida de la vía por la derecha con vuelco,2023,2,115,1.7391
A-3,Salida de la vía por la derecha con vuelco,2024,6,145,4.1379
A-3,Salida de la vía por la derecha otro tipo,2016,11,188,5.8511
A-3,Salida de la vía por la derecha otro tipo,2017,4,143,2.7972
A-3,Salida de la vía por la derecha otro tipo,2018,6,156,3.8462
A-3,Salida de la vía por la derecha otro tipo,2019,8,140,5.7143
A-3,Salida de la vía por la derecha otro tipo,2020,3,92,3.2609
A-3,Salida de la vía por la derecha otro tipo,2021,1,84,1.1905
A-3,Salida de la vía por la derecha otro tipo,2022,7,115,6.087
A-3,Salida de la vía por la derecha otro tipo,2023,3,115,2.6087
A-3,Salida de la vía por la derecha otro tipo,2024,13,145,8.9655
A-3,Salida de la vía por la izquierda con colisión,2016,18,188,9.5745
A-3,Salida de la vía por la izquierda con colisión,2017,7,143,4.8951
A-3,Salida de la vía por la izquierda con colisión,2018,15,156,9.6154
A-3,Salida de la vía por la izquierda con colisión,2019,11,140,7.8571
A-3,Salida de la vía por la izquierda con colisión,2020,10,92,10.8696
A-3,Salida de la vía por la izquierda con colisión,2021,3,84,3.5714
A-3,Salida de la vía por la izquierda con colisión,2022,3,115,2.6087
A-3,Salida de la vía por la izquierda con colisión,2023,15,115,13.0435
A-3,Salida de la vía por la izquierda con colisión,2024,13,145,8.9655
A-3,Salida de la vía por la izquierda con despeñamiento,2017,2,143,1.3986
A-3,Salida de la vía por la izquierda con despeñamiento,2019,1,140,0.7143
A-3,Salida de la vía por la izquierda con vuelco,2016,24,188,12.766
A-3,Salida de la vía por la izquierda con vuelco,2017,7,143,4.8951
A-3,Salida de la vía por la izquierda con vuelco,2018,5,156,3.2051
A-3,Salida de la vía por la izquierda con vuelco,2019,8,140,5.7143
A-3,Salida de la vía por la izquierda con vuelco,2020,5,92,5.4348
A-3,Salida de la vía por la izquierda con vuelco,2021,3,84,3.5714
A-3,Salida de la vía por la izquierda con vuelco,2022,2,115,1.7391
A-3,Salida de la vía por la izquierda con vuelco,2023,4,115,3.4783
A-3,Salida de la vía por la izquierda con vuelco,2024,2,145,1.3793
A-3,"Salida de la vía por la izquierda, otro tipo",2016,12,188,6.383
A-3,"Salida de la vía por la izquierda, otro tipo",2017,5,143,3.4965
A-3,"Salida de la vía por la izquierda, otro tipo",2018,3,156,1.9231
A-3,"Salida de la vía por la izquierda, otro tipo",2019,2,140,1.4286
A-3,"Salida de la vía por la izquierda, otro tipo",2020,6,92,6.5217
A-3,"Salida de la vía por la izquierda, otro tipo",2021,6,84,7.1429
A-3,"Salida de la vía por la izquierda, otro tipo",2022,3,115,2.6087
A-3,"Salida de la vía por la izquierda, otro tipo",2023,8,115,6.9565
A-3,"Salida de la vía por la izquierda, otro tipo",2024,4,145,2.7586
A-3,Vuelco,2016,3,188,1.5957
A-3,Vuelco,2018,1,156,0.641
A-3,Vuelco,2021,2,84,2.381
