SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
M-539_3,2022,M-539,Salida de la vía por la derecha con colisión,1
M-539_4,2017,M-539,Colisión por alcance,1
M-539_4,2021,M-539,"Salida de la vía por la izquierda, otro tipo",1
M-539_5,2016,M-539,Caída,1
M-539_5,2017,M-539,Salida de la vía por la derecha con vuelco,1
M-539_5,2018,M-539,Colisión lateral,1
M-539_5,2019,M-539,Caída,1
M-539_5,2021,M-539,Caída,1
M-540_2,2017,M-540,Salida de la vía por la derecha con vuelco,1
M-540_2,2018,M-540,Salida de la vía por la izquierda con despeñamiento,1
M-541_14,2020,M-541,Atropello a personas,1
M-541_15,2021,M-541,Salida de la vía por la derecha con colisión,1
M-541_16,2024,M-541,Salida de la vía por la derecha con vuelco,1
M-541_17,2021,M-541,Colisión fronto-lateral,1
M-541_17,2023,M-541,Salida de la vía por la derecha con colisión,1
M-541_18,2019,M-541,Colisión fronto-lateral,1
M-541_9,2016,M-541,Salida de la vía por la izquierda con colisión,1
M-542_0,2017,M-542,Atropello a animales,1
M-542_8,2024,M-542,Salida de la vía por la derecha con vuelco,1
M-543_3,2017,M-543,Salida de la vía por la derecha otro tipo,1
M-543_3,2018,M-543,Salida de la vía por la derecha con despeñamiento,1
M-543_3,2023,M-543,Salida de la vía por la izquierda con despeñamiento,1
M-545_2,2018,M-545,Salida de la vía por la derecha otro tipo,1
M-545_4,2019,M-545,Salida de la vía por la izquierda con vuelco,1
M-545_4,2021,M-545,Caída,1
M-545_4,2024,M-545,Caída,1
M-548_6,2020,M-548,Salida de la vía por la izquierda con vuelco,1
M-549_0,2021,M-549,Salida de la vía por la derecha otro tipo,1
M-600_0,2016,M-600,Colisión múltiple,1
M-600_0,2017,M-600,Colisión por alcance,1
M-600_0,2018,M-600,Colisión múltiple,2
M-600_0,2019,M-600,Colisión fronto-lateral,2
M-600_0,2020,M-600,Colisión por alcance,1
M-600_0,2021,M-600,Colisión fronto-lateral,1
M-600_0,2022,M-600,Caída,1
M-600_0,2023,M-600,Colisión frontal,1
M-600_0,2024,M-600,Colisión por alcance,1
M-600_1,2016,M-600,Colisión por alcance,1
M-600_1,2017,M-600,Colisión fronto-lateral,1
M-600_1,2018,M-600,Colisión lateral,2
M-600_1,2019,M-600,Colisión fronto-lateral,3
M-600_1,2020,M-600,Colisión por alcance,3
M-600_1,2021,M-600,Colisión fronto-lateral,2
M-600_1,2022,M-600,Colisión múltiple,1
M-600_1,2024,M-600,Colisión por alcance,1
M-600_10,2017,M-600,Colisión por alcance,1
M-600_10,2018,M-600,Colisión frontal,1
M-600_10,2019,M-600,Colisión por alcance,1
M-600_10,2020,M-600,Colisión lateral,1
M-600_10,2021,M-600,Colisión fronto-lateral,1
M-600_10,2022,M-600,Colisión por alcance,1
M-600_11,2017,M-600,Caída,1
M-600_11,2019,M-600,Colisión por alcance,1
M-600_11,2020,M-600,Colisión fronto-lateral,1
M-600_12,2019,M-600,Salida de la vía por la derecha con vuelco,1
M-600_12,2023,M-600,Colisión contra obstáculo o elemento de la vía,1
M-600_12,2024,M-600,Colisión frontal,1
M-600_13,2020,M-600,Salida de la vía por la derecha con vuelco,1
M-600_13,2023,M-600,Colisión frontal,1
M-600_14,2017,M-600,Caída,2
M-600_14,2018,M-600,Colisión fronto-lateral,3
M-600_14,2019,M-600,Salida de la vía por la derecha con colisión,1
M-600_14,2020,M-600,Colisión frontal,1
M-600_14,2023,M-600,Colisión lateral,1
M-600_15,2016,M-600,Colisión por alcance,1
M-600_15,2017,M-600,Salida de la vía por la izquierda con colisión,1
M-600_15,2018,M-600,Colisión por alcance,1
M-600_15,2019,M-600,Colisión por alcance,1
M-600_15,2020,M-600,Salida de la vía por la derecha con colisión,1
M-600_15,2021,M-600,Colisión múltiple,1
M-600_15,2022,M-600,Caída,1
M-600_15,2023,M-600,Salida de la vía por la derecha otro tipo,1
M-600_16,2019,M-600,Salida de la vía por la derecha otro tipo,1
M-600_16,2020,M-600,Colisión fronto-lateral,1
M-600_16,2021,M-600,Colisión por alcance,1
M-600_16,2022,M-600,Colisión por alcance,1
M-600_16,2023,M-600,Colisión frontal,1
M-600_16,2024,M-600,Colisión por alcance,1
M-600_17,2016,M-600,Salida de la vía por la derecha otro tipo,1
M-600_17,2017,M-600,Vuelco,1
M-600_17,2018,M-600,Colisión frontal,1
M-600_17,2019,M-600,Colisión por alcance,1
M-600_17,2021,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_17,2023,M-600,Colisión frontal,1
M-600_18,2017,M-600,Colisión frontal,1
M-600_18,2018,M-600,Caída,1
M-600_18,2021,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_18,2024,M-600,Colisión frontal,1
M-600_19,2016,M-600,Salida de la vía por la derecha con despeñamiento,1
M-600_19,2017,M-600,Colisión por alcance,2
M-600_19,2019,M-600,Colisión fronto-lateral,1
M-600_19,2020,M-600,Colisión frontal,1
M-600_19,2022,M-600,Caída,1
M-600_19,2023,M-600,Colisión frontal,1
M-600_2,2022,M-600,Salida de la vía por la derecha otro tipo,1
M-600_20,2019,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_20,2021,M-600,Colisión fronto-lateral,1
M-600_21,2018,M-600,Colisión fronto-lateral,1
M-600_21,2020,M-600,Colisión fronto-lateral,2
M-600_21,2021,M-600,Colisión frontal,1
M-600_21,2023,M-600,Colisión lateral,1
M-600_22,2016,M-600,Salida de la vía por la izquierda con colisión,1
M-600_22,2017,M-600,Colisión por alcance,1
M-600_22,2018,M-600,Colisión frontal,1
M-600_22,2019,M-600,Colisión por alcance,1
M-600_22,2020,M-600,Colisión por alcance,2
M-600_22,2021,M-600,Colisión por alcance,1
M-600_22,2023,M-600,Colisión fronto-lateral,1
M-600_23,2017,M-600,Colisión por alcance,1
M-600_23,2018,M-600,Colisión múltiple,1
M-600_23,2019,M-600,Colisión por alcance,1
M-600_23,2021,M-600,Colisión múltiple,1
M-600_23,2022,M-600,Colisión frontal,2
M-600_23,2023,M-600,Colisión frontal,2
M-600_23,2024,M-600,Colisión por alcance,2
M-600_24,2016,M-600,Colisión lateral,1
M-600_24,2018,M-600,Colisión fronto-lateral,1
M-600_24,2019,M-600,Caída,1
M-600_24,2021,M-600,Colisión fronto-lateral,1
M-600_24,2022,M-600,Colisión por alcance,1
M-600_24,2023,M-600,Colisión múltiple,1
M-600_25,2016,M-600,Salida de la vía por la izquierda con colisión,1
M-600_25,2019,M-600,Colisión múltiple,1
M-600_25,2021,M-600,Salida de la vía por la derecha otro tipo,1
M-600_25,2022,M-600,Colisión frontal,1
M-600_25,2024,M-600,Salida de la vía por la derecha otro tipo,1
M-600_26,2018,M-600,Colisión lateral,1
M-600_26,2023,M-600,Colisión frontal,1
M-600_27,2016,M-600,Colisión fronto-lateral,1
M-600_27,2020,M-600,Colisión lateral,1
M-600_27,2021,M-600,Colisión frontal,1
M-600_27,2022,M-600,Colisión por alcance,2
M-600_28,2017,M-600,Colisión lateral,1
M-600_28,2018,M-600,Colisión por alcance,1
M-600_28,2020,M-600,Caída,1
M-600_28,2021,M-600,Salida de la vía por la izquierda con vuelco,1
M-600_28,2022,M-600,Colisión múltiple,1
M-600_28,2023,M-600,Colisión fronto-lateral,1
M-600_29,2017,M-600,Colisión por alcance,1
M-600_29,2019,M-600,Colisión por alcance,1
M-600_29,2021,M-600,Salida de la vía por la derecha con colisión,1
M-600_3,2016,M-600,Colisión fronto-lateral,2
M-600_3,2017,M-600,Colisión lateral,1
M-600_3,2018,M-600,Colisión fronto-lateral,1
M-600_3,2019,M-600,Colisión fronto-lateral,1
M-600_3,2020,M-600,Colisión frontal,1
M-600_3,2021,M-600,Colisión por alcance,1
M-600_3,2022,M-600,Colisión fronto-lateral,1
M-600_3,2023,M-600,Colisión fronto-lateral,1
M-600_30,2023,M-600,Colisión por alcance,1
M-600_31,2016,M-600,Salida de la vía por la derecha otro tipo,1
M-600_31,2017,M-600,Colisión fronto-lateral,1
M-600_31,2018,M-600,Colisión fronto-lateral,3
M-600_31,2021,M-600,Colisión fronto-lateral,1
M-600_31,2022,M-600,Colisión lateral,1
M-600_31,2023,M-600,Caída,1
M-600_32,2016,M-600,Colisión fronto-lateral,1
M-600_32,2018,M-600,Caída,1
M-600_32,2020,M-600,Colisión fronto-lateral,1
M-600_32,2024,M-600,Caída,1
